Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, inpatient",85 years and over,258,762,232,158,,336,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, inpatient",All ages,880,2987,800,544,17,1152,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",0-14 years,0,17,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",15-44 years,,154,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",45-64 years,17,296,14,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",65-74 years,15,196,,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",75-84 years,12,183,,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",85 years and over,14,181,10,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,"Healthcare setting, outpatient or emergency room",All ages,60,1027,42,19,0,83,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Hospice facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Hospice facility,15-44 years,,26,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Hospice facility,45-64 years,,245,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Hospice facility,65-74 years,30,317,26,20,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Hospice facility,75-84 years,55,429,46,34,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Hospice facility,85 years and over,96,649,87,66,,120,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Hospice facility,All ages,190,1666,167,123,,240,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Nursing home/longterm care facility,15-44 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Nursing home/longterm care facility,45-64 years,23,104,,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Nursing home/longterm care facility,65-74 years,91,330,40,30,0,101,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Nursing home/longterm care facility,75-84 years,217,815,74,50,0,241,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Nursing home/longterm care facility,85 years and over,615,2311,208,132,,697,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Nursing home/longterm care facility,All ages,946,3563,332,216,,1068,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Other,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Other,15-44 years,0,67,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Other,45-64 years,,58,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Other,65-74 years,0,12,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Other,75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Other,85 years and over,,32,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Other,All ages,,178,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Place of death unknown,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Place of death unknown,15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Place of death unknown,45-64 years,,35,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Place of death unknown,65-74 years,,33,,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Place of death unknown,75-84 years,16,55,13,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Place of death unknown,85 years and over,21,64,15,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Rhode Island,Place of death unknown,All ages,52,191,41,26,0,67,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,All places of death,All ages,170,6707,324,44,18,468,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Decedent's home,0-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Decedent's home,15-44 years,,135,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Decedent's home,45-64 years,0,517,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Decedent's home,65-74 years,,535,,0,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Decedent's home,75-84 years,,676,12,0,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Decedent's home,85 years and over,,685,17,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Decedent's home,All ages,16,2554,45,,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, dead on arrival",0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, dead on arrival",15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, dead on arrival",45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, dead on arrival",65-74 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, dead on arrival",75-84 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, dead on arrival",85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, dead on arrival",All ages,0,13,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, inpatient",0-14 years,0,10,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, inpatient",15-44 years,,62,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, inpatient",45-64 years,,257,16,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, inpatient",65-74 years,,310,44,,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, inpatient",75-84 years,20,387,53,,0,65,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, inpatient",85 years and over,19,384,58,10,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, inpatient",All ages,52,1410,175,25,11,213,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, outpatient or emergency room",0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, outpatient or emergency room",15-44 years,0,43,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, outpatient or emergency room",45-64 years,,69,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, outpatient or emergency room",65-74 years,,81,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, outpatient or emergency room",75-84 years,0,57,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, outpatient or emergency room",85 years and over,,44,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,"Healthcare setting, outpatient or emergency room",All ages,,295,13,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Hospice facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Hospice facility,15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Hospice facility,45-64 years,0,54,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Hospice facility,65-74 years,0,81,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Hospice facility,75-84 years,0,106,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Hospice facility,85 years and over,0,118,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Hospice facility,All ages,0,365,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Nursing home/longterm care facility,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Nursing home/longterm care facility,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Nursing home/longterm care facility,45-64 years,,48,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Nursing home/longterm care facility,65-74 years,14,185,,0,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Nursing home/longterm care facility,75-84 years,27,392,17,,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Nursing home/longterm care facility,85 years and over,50,1007,51,12,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Nursing home/longterm care facility,All ages,93,1632,73,16,,153,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Other,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Other,15-44 years,,99,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Other,45-64 years,0,122,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Other,65-74 years,,69,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Other,75-84 years,,51,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Other,85 years and over,,91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Other,All ages,,436,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Place of death unknown,15-44 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Place of death unknown,45-64 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Place of death unknown,65-74 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Place of death unknown,85 years and over,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,1,Vermont,Place of death unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,All places of death,All ages,20238,105341,14781,9973,159,25190,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Decedent's home,0-14 years,,54,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Decedent's home,15-44 years,67,1771,21,,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Decedent's home,45-64 years,285,5916,88,36,,342,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Decedent's home,65-74 years,186,5710,81,35,,233,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Decedent's home,75-84 years,188,7235,123,45,,269,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Decedent's home,85 years and over,293,10961,256,80,,471,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Decedent's home,All ages,1020,31647,569,203,16,1400,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, dead on arrival",0-14 years,0,11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, dead on arrival",15-44 years,,55,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, dead on arrival",45-64 years,,98,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, dead on arrival",65-74 years,,69,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, dead on arrival",75-84 years,,72,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, dead on arrival",85 years and over,,68,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, dead on arrival",All ages,30,373,14,,0,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, inpatient",0-14 years,,287,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, inpatient",15-44 years,389,1466,302,216,,481,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, inpatient",45-64 years,2899,7890,2199,1667,28,3457,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, inpatient",65-74 years,3224,8628,2539,1851,19,3927,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, inpatient",75-84 years,3680,10231,3149,2214,25,4639,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, inpatient",85 years and over,3080,9579,2794,1837,32,4067,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, inpatient",All ages,13274,38081,10984,7785,111,16574,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, outpatient or emergency room",0-14 years,0,113,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, outpatient or emergency room",15-44 years,35,664,19,,0,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, outpatient or emergency room",45-64 years,156,1521,67,40,,183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, outpatient or emergency room",65-74 years,132,1168,70,42,,162,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, outpatient or emergency room",75-84 years,138,1206,91,40,,189,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, outpatient or emergency room",85 years and over,140,1038,122,54,,211,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,"Healthcare setting, outpatient or emergency room",All ages,601,5710,372,183,,796,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Hospice facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Hospice facility,15-44 years,,51,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Hospice facility,45-64 years,31,470,26,11,0,46,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Hospice facility,65-74 years,65,679,40,25,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Hospice facility,75-84 years,145,1030,108,74,0,179,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Hospice facility,85 years and over,186,1276,126,81,,234,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Hospice facility,All ages,428,3507,300,191,,541,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Nursing home/longterm care facility,0-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Nursing home/longterm care facility,15-44 years,13,89,,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Nursing home/longterm care facility,45-64 years,186,1220,118,61,,244,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Nursing home/longterm care facility,65-74 years,406,2233,233,138,0,501,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Nursing home/longterm care facility,75-84 years,1166,5043,603,403,,1367,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Nursing home/longterm care facility,85 years and over,2843,12301,1421,906,14,3371,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Nursing home/longterm care facility,All ages,4614,20890,2382,1513,16,5498,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Other,0-14 years,0,11,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Other,15-44 years,,1039,,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Other,45-64 years,26,1124,10,,0,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Other,65-74 years,38,595,19,12,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Other,75-84 years,62,783,28,20,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Other,85 years and over,135,1579,93,52,,177,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Other,All ages,270,5131,159,92,,341,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Place of death unknown,0-14 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Place of death unknown,15-44 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Place of death unknown,45-64 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Place of death unknown,65-74 years,,,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Place of death unknown,75-84 years,0,0,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Place of death unknown,85 years and over,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New Jersey,Place of death unknown,All ages,,,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New York,All places of death,All ages,20752,134811,17661,9193,290,29486,
2/17/2021,1/4/2020,2/13/2021,2,New York,Decedent's home,0-14 years,0,100,0,0,0,0,
2/17/2021,1/4/2020,2/13/2021,2,New York,Decedent's home,15-44 years,43,2724,43,11,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New York,Decedent's home,45-64 years,223,7856,164,53,15,345,
2/17/2021,1/4/2020,2/13/2021,2,New York,Decedent's home,65-74 years,177,7797,130,35,,276,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New York,Decedent's home,75-84 years,211,9471,228,52,,395,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New York,Decedent's home,85 years and over,371,14071,500,116,13,763,
2/17/2021,1/4/2020,2/13/2021,2,New York,Decedent's home,All ages,1025,42019,1065,267,46,1858,
2/17/2021,1/4/2020,2/13/2021,2,New York,"Healthcare setting, dead on arrival",0-14 years,,11,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New York,"Healthcare setting, dead on arrival",15-44 years,,95,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New York,"Healthcare setting, dead on arrival",45-64 years,10,199,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
2/17/2021,1/4/2020,2/13/2021,2,New York,"Healthcare setting, dead on arrival",65-74 years,,132,,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
